option,ro-compatible,enable,dependencies
allocation_classes,yes,no,
async_destroy,yes,yes,
blake3,no,no,extensible_dataset
bookmarks,yes,no,extensible_dataset
bookmark_v2,no,no,bookmark;extensible_dataset
bookmark_written,no,no,bookmark;extensible_dataset;bookmark_v2
device_rebuild,yes,no,
device_removal,no,yes,
draid,no,no,
edonr,no,yes,extensible_dataset
embeded_data,no,no,
empty_bpobj,yes,yes,
enabled_txg,yes,no,
encryption,no,no,bookmark_v2;extensible_dataset
extensible_dataset,no,yes,
filesystem_limits,yes,no,extensible_dataset
head_errlog,no,no,
hole_birth,no,yes,enabled_txg
large_blocks,no,yes,extensible_dataset
large_dnode,no,yes,extensible_dataset
livelist,yes,yes,
log_spacemap,yes,yes,com.delphix:spacemap_v2
lz4_compress,no,no,
obsolete_counts,yes,yes,device_removal
resilver_defer,yes,yes,
spacemap_histogram,yes,yes,
spacemap_v2,yes,yes,
zilsaxattr,yes,no,extensible_dataset
zpool_checkpoint,yes,yes,
zstd_compress,no,yes,extensible_dataset
